rate_position,username,rank,enlightenment,solved
1,dmgoldobin,cardinal,"1,927.23",214
2,JimmyCarlos,cardinal,"1,913.38",214
3,Photon,cardinal,"1,912.80",214
4,Moff,cardinal,"1,910.75",213
5,Gintaras_S,cardinal,"1,906.49",213
6,gukz6841,cardinal,"1,897.14",214
7,Guy Gervais,cardinal,"1,876.37",211
8,Signum_X,cardinal,"1,872.73",211
9,Taliesin2015,cardinal,"1,866.44",212
10,Alexandr Milovantsev,cardinal,"1,863.22",210
11,goto,cardinal,"1,860.73",209
12,Kenshin,cardinal,"1,852.17",211
13,camel_case,cardinal,"1,848.25",210
14,silentsoul,cardinal,"1,841.55",209
15,Pythagoras,cardinal,"1,834.67",209
16,openmind,cardinal,"1,830.22",209
17,MissPython,cardinal,"1,829.30",207
18,Vladimir_V,cardinal,"1,824.80",208
19,laurentypetit,cardinal,"1,815.99",207
20,Quandray,frost enchanter,"1,789.73",204
21,Hennes,frost enchanter,"1,742.12",202
22,jpb_spargel,frost enchanter,"1,739.96",202
23,johnnycake,frost enchanter,"1,691.77",197
24,nicolas_patrois,frost enchanter,"1,690.83",198
25,Dmytro Pryhornytskyi,frost enchanter,"1,662.15",195
26,blue_meeny,frost enchanter,"1,620.77",191
27,bluknite,frost enchanter,"1,617.58",192
28,asd654,frost enchanter,"1,607.01",191
29,gunsmoke,frost enchanter,"1,603.89",189
30,Eugene Lim,frost enchanter,"1,581.94",189
31,igor_sekretarev,frost enchanter,"1,577.27",188
32,One_liner,the doctor,"1,574.76",184
33,Vladislav  Kondratov,frost enchanter,"1,568.39",188
34,abihle,frost enchanter,"1,566.87",188
35,TheUlit,frost enchanter,"1,566.20",186
36,relativity,the doctor,"1,407.44",175
37,Absurdis,the doctor,"1,407.21",174
38,RandyWaterhouse,the doctor,"1,404.34",171
39,JamBoltheads,the doctor,"1,393.78",174
40,cire,the doctor,"1,383.23",172
41,Tyro,the doctor,"1,377.83",171
42,DimonMIPT,the doctor,"1,375.68",171
43,matthias,the doctor,"1,372.83",168
44,Abhisek_,the doctor,"1,340.30",167
45,the_yato,the doctor,"1,336.23",167
46,jcgillet,the doctor,"1,335.96",169
47,Serenade,the doctor,"1,320.63",165
48,Mohamed Aziz,the doctor,"1,299.99",165
49,tonychamberlain,the doctor,"1,297.11",165
50,Mastermind,stargazer,"1,292.36",164
