rate_position,username,rank,enlightenment,solved
1,dmgoldobin,cardinal,"1,927.22",214
2,JimmyCarlos,cardinal,"1,913.37",214
3,Photon,cardinal,"1,912.79",214
4,Moff,cardinal,"1,910.74",213
5,Gintaras_S,cardinal,"1,906.48",213
6,gukz6841,cardinal,"1,897.14",214
7,Guy Gervais,cardinal,"1,876.36",211
8,Signum_X,cardinal,"1,872.72",211
9,Taliesin2015,cardinal,"1,866.43",212
10,Alexandr Milovantsev,cardinal,"1,863.20",210
11,goto,cardinal,"1,860.72",209
12,Kenshin,cardinal,"1,852.16",211
13,camel_case,cardinal,"1,848.23",210
14,silentsoul,cardinal,"1,841.53",209
15,Pythagoras,cardinal,"1,834.65",209
16,openmind,cardinal,"1,830.21",209
17,MissPython,cardinal,"1,829.28",207
18,Vladimir_V,cardinal,"1,824.78",208
19,laurentypetit,cardinal,"1,815.99",207
20,Quandray,frost enchanter,"1,789.71",204
21,Hennes,frost enchanter,"1,742.09",202
22,jpb_spargel,frost enchanter,"1,739.93",202
23,johnnycake,frost enchanter,"1,691.74",197
24,nicolas_patrois,frost enchanter,"1,690.79",198
25,Dmytro Pryhornytskyi,frost enchanter,"1,662.11",195
26,blue_meeny,frost enchanter,"1,620.75",191
27,bluknite,frost enchanter,"1,617.55",192
28,asd654,frost enchanter,"1,606.99",191
29,gunsmoke,frost enchanter,"1,603.87",189
30,Eugene Lim,frost enchanter,"1,581.89",189
31,igor_sekretarev,frost enchanter,"1,577.21",188
32,One_liner,the doctor,"1,574.75",184
33,Vladislav  Kondratov,frost enchanter,"1,568.35",188
34,abihle,frost enchanter,"1,566.82",188
35,TheUlit,frost enchanter,"1,566.17",186
36,relativity,the doctor,"1,407.39",175
37,Absurdis,the doctor,"1,407.15",174
38,RandyWaterhouse,the doctor,"1,404.30",171
39,JamBoltheads,the doctor,"1,393.75",174
40,cire,the doctor,"1,383.17",172
41,Tyro,the doctor,"1,377.76",171
42,DimonMIPT,the doctor,"1,375.64",171
43,matthias,the doctor,"1,372.78",168
44,Abhisek_,the doctor,"1,340.26",167
45,the_yato,the doctor,"1,336.19",167
46,jcgillet,the doctor,"1,335.93",169
47,Serenade,the doctor,"1,320.60",165
48,Mohamed Aziz,the doctor,"1,299.94",165
49,tonychamberlain,the doctor,"1,297.08",165
50,Mastermind,stargazer,"1,292.34",164
